,V1,V2,source
105517_18N1004H1,-0.06983076,5.67E-05,human stool
105518_18Q1084H1,-0.00061392,0.018447217,human stool
105519_18Q1179H1,0.001898198,9.91E-05,human stool
105520_17V1004H1,-0.073870713,0.005166594,human stool
105521_18V1065H1,-0.000264419,0.00038367,human stool
105530_18N1003H1,-0.068370904,0.003338294,human stool
105531_18N1031H1,-0.001793444,-5.64E-06,human stool
105532_18Q1027H1,0.000638922,0.000517359,human stool
105533_18Q1089H1,-0.073477634,0.001932838,human stool
105534_17V1007H1,-0.070236322,-0.0033279,human stool
105535_18V1069H1,-0.000539085,0.001602882,human stool
105566_CFSAN093262,0.001415794,-0.000411038,human stool
105567_CFSAN096322,8.64E-05,0.000658689,human stool
105568_CFSAN093253,0.001781899,0.018324415,human stool
105569_CFSAN096335,-0.071842357,0.001684747,human stool
105570_CFSAN096326,-0.071828916,0.001731869,human stool
105577_PA010,0.00309561,-0.001386943,chicken
105578_PA017,0.002735362,0.001209403,chicken
105579_PA026,0.002422799,0.000990676,chicken
105580_PA028,0.002766198,0.000905542,chicken
105581_PA029,0.002309449,0.000863065,chicken
105583_PA031,0.001039025,0.020257433,chicken
105584_PA032,0.001041636,-0.000171717,chicken
105585_PA033,0.001188632,0.020139896,chicken
105586_PA034,0.001082613,-0.00032945,chicken
105587_PA040,0.001355294,0.018201764,chicken
105590_PA048,0.002622668,0.00121891,chicken
105593_PA061,0.002489602,0.000940134,chicken
105594_PA062,0.002288826,0.001081434,chicken
105597_PA065,0.00245034,0.001105092,chicken
105601_PA070,0.002549875,0.000931677,chicken
105614_PA093,0.003083022,0.000331731,chicken
105616_PV004,0.00295573,-0.001324563,chicken
105636_PV086,0.002824504,-0.001819509,chicken
105640_PV091,0.002535194,-0.001069159,chicken
105642_PV093,0.002824061,-0.000232026,chicken
105643_PV094,0.00260493,0.004278044,chicken
105667_TTU_564,0.001416862,-0.000541826,pig
105746_cerdo_0_1_C1,-0.001636402,-0.002383655,pig
105747_cerdo_0_1_C2,-0.001601203,-0.002398335,pig
106005_17_01_4401,-0.003319002,0.016655079,chicken
106284_SRR6876876,0.002138886,-0.003249646,pig
106290_SRR8950323,0.001427848,-0.00038539,chicken
106291_SRR8839860,0.001451247,-0.000396235,chicken
106292_SRR10097008,0.00039228,-0.001086926,chicken
106305_SRR9289374,-0.000334505,-0.000494105,pig
106306_SRR9417591,-0.001663476,-0.000927037,pig
106360_QL_1_15,-0.000656555,0.000297722,pig
106383_YZU0730,-0.000314601,0.000206515,chicken
106738_CFSAN093244,0.000100633,0.00042407,human stool
106742_CFSAN093251,0.001251225,0.000102408,human stool
106743_CFSAN093254,-0.000146975,0.000531505,human stool
106746_CFSAN093263,0.000126154,0.000422629,human stool
106756_CFSAN096318,0.000591601,-0.001610321,human stool
106763_CFSAN096327,0.002233632,-0.00119098,human stool
106848_C1B1,0.002317755,-0.000873556,chicken
106853_C1B6,0.001777114,0.000185729,chicken
106873_C1H6,0.002024438,-0.001001219,chicken
106883_C2E6,0.000768502,-0.000708021,chicken
106886_C2G2,0.000358171,-0.000644833,chicken
106888_C2G5,0.000300227,-0.000662992,chicken
106912_C3H5,0.002998237,0.000185873,chicken
106918_C3I7,0.003140386,0.000465523,chicken
106922_C4A6,-0.001434247,8.31E-05,chicken
106923_C4A7,0.000487562,-0.000663207,chicken
107700_SRR12070055,0.000909798,-0.001784845,pig
107701_SRR12070056,-8.84E-05,-0.001815589,pig
107702_SRR12070057,-0.00057394,-0.000643855,pig
107703_SRR12070058,-0.00086322,-0.002276956,pig
107704_SRR12070059,0.001255565,-0.001445,pig
107705_SRR12070060,0.000292027,-0.003560685,pig
107706_SRR12070061,0.002949055,-0.003479694,pig
107707_SRR12070062,0.001406885,-0.001500832,pig
107708_SRR12070063,0.000281244,-0.002848237,pig
107709_SRR12070064,-0.002041039,-0.001464212,pig
107710_SRR12070065,-0.000626528,-0.005985213,pig
107711_SRR12070066,-0.000661539,-0.001808258,pig
107712_SRR12070067,-0.000886515,-0.001135674,pig
107713_SRR12070068,-0.000263273,-0.001144659,pig
107714_SRR12070069,-0.000661539,-0.001808258,pig
107715_SRR12070070,0.002159957,-0.002319802,pig
107716_SRR12070071,0.032336572,-0.018536473,pig
107717_SRR12070072,-0.000616538,-0.000929198,pig
107718_SRR12070073,0.000289763,-0.002747415,pig
107719_SRR12070074,-0.000290302,-0.000585176,pig
107720_SRR12070075,-0.002050413,-0.001131291,pig
107721_SRR12070076,0.00091738,0.000238116,pig
107722_SRR12070077,-0.00014425,-0.001502441,pig
107723_SRR12070078,0.000783857,-0.001986155,pig
107724_SRR12070079,0.000783121,-0.001974891,pig
107725_SRR12070080,0.000413958,-0.003129517,pig
